"txid","pair","time","type","ordertype","price","cost","fee","vol"
"TNPUVS-TOBVI-VSPE56","XTZEUR","2019-04-15 15:33:19.9842","sell","limit",1.010000,56.633696,0.090614,56.07296596
"T3TACB-TQGHH-SFBU5X","XTZEUR","2019-04-15 15:33:24.2936","sell","limit",1.010000,31.864029,0.050982,31.54854313
"T6VP36-ESSQ3-LNFPS2","XTZEUR","2019-04-15 15:33:28.1954","sell","limit",1.010000,12.502276,0.020004,12.37849091
"T6APSF-DUV24-OWLKDX","BSVEUR","2019-04-18 10:37:01.6727","sell","market",52.099999,39.862531,0.103643,0.76511577
"TLGLAG-2SVNI-WAHE4H","ATOMEUR","2019-04-23 08:35:09.7815","buy","limit",4.250000,60.000000,0.096000,14.11764705
"TBFB3A-JCYRD-4ISNVT","ATOMEUR","2019-05-12 08:17:29.2477","buy","limit",3.500000,65.000000,0.104000,18.57142857
"TLNH5L-LDDTR-U3XNKA","XXLMZEUR","2019-05-12 08:22:58.8009","buy","limit",0.09000000,60.00000000,0.09600000,666.66666666
"TYOZF6-7LLSC-2D6E3O","XTZEUR","2019-05-15 08:04:32.0273","sell","limit",1.440000,17.632800,0.028212,12.24500000
"TRMBQ5-J36BX-POHBR2","XTZEUR","2019-05-15 08:05:38.4466","sell","limit",1.440000,54.367200,0.086988,37.75500000
"TY3OAO-4WQIC-JYQZFD","XLTCZEUR","2019-05-15 10:34:01.7801","sell","limit",85.00000,85.00000,0.13600,1.00000000
"TUVF3O-MCFBN-6XGPGK","BCHEUR","2019-05-19 20:30:16.4555","sell","limit",375.000000,47.250000,0.075600,0.12600000
"TYWVRW-I3R63-AJPLKX","BCHEUR","2019-05-19 20:30:32.5295","sell","limit",375.000000,46.500000,0.074400,0.12400000
"TBIYDP-UB2TP-HWV2O7","EOSEUR","2019-05-19 21:01:52.5762","sell","limit",5.700000,64.343243,0.102949,11.28828828
"TJZ6GH-AAVY5-HJLZY3","EOSEUR","2019-05-19 21:08:22.8453","sell","limit",5.700000,106.656757,0.170651,18.71171172
"T3VSIQ-INTYA-7T5VL5","XXBTZEUR","2019-05-19 22:34:33.5312","sell","limit",7250.00000,181.25000,0.29000,0.02500000
"THY4N5-LLWDY-SW2Q44","EOSEUR","2019-05-27 22:44:22.1431","sell","limit",7.000000,175.000000,0.280000,25.00000000
"T3FFR4-J5JOY-7RJKHT","ADAEUR","2019-05-28 17:33:32.3176","sell","limit",0.082000,82.000000,0.131200,1000.00000000
"TLV7GF-6F5NI-7PRW6Z","XXBTZEUR","2019-05-30 15:57:39.0712","sell","limit",8000.00000,160.00000,0.25600,0.02000000
"T7F44V-2ETFD-NOWTJ2","XXRPZEUR","2019-06-03 23:23:46.2569","buy","limit",0.38000000,80.00000000,0.12800000,210.52631578
"T5MDWZ-NFFOL-5W5GDR","XTZEUR","2019-06-05 15:51:14.0321","buy","limit",1.000000,50.000000,0.080000,50.00000000
"TLUDWG-CGUIE-6CDGYV","XXBTZEUR","2019-06-23 19:06:43.2005","sell","limit",9500.00000,95.00000,0.15200,0.01000000
"TJJOB3-2IPKN-J5Q4OE","XTZEUR","2019-06-25 22:31:18.7908","buy","limit",0.920000,80.000000,0.128000,86.95652173
"TZPCK7-X74S6-5FVZIQ","XXBTZEUR","2019-06-26 06:11:07.4777","sell","limit",11100.00000,111.00000,0.17760,0.01000000
"T2TNIS-WC327-FYFDWQ","EOSEUR","2019-07-01 14:59:07.0316","buy","limit",4.950000,80.000000,0.128000,16.16161616
"TOT6I6-IVZOT-AC5MS5","XXBTZEUR","2019-07-01 15:01:02.7525","buy","limit",9000.00000,90.00000,0.14400,0.01000000
"TSU437-BBMKA-HWXBBI","XTZEUR","2019-07-03 19:05:05.3044","sell","limit",1.100000,110.000000,0.176000,100.00000000
"TVF2SZ-2JKNE-EESLSG","ADAEUR","2019-07-06 22:12:05.7717","buy","limit",0.069000,70.000000,0.112000,1014.49275362
