pair,time,type,ordertype,price,cost,fee,vol
XTZEUR,2024-03-19 05:29:52,buy,limit,1.090,65.400,0.10464000,60.000
ATOMEUR,2024-03-19 06:51:24,buy,limit,10.100,80.800,0.12928000,8.000
XETCZEUR,2024-03-19 06:52:18,buy,limit,26.500,79.500,0.12720000,3.000
DOTEUR,2024-03-19 07:10:49,buy,limit,8.300,66.113,0.10578000,7.965
DOTEUR,2024-03-19 07:10:57,buy,limit,8.300,0.28684000,0.00046000,0.03455928
AAVEEUR,2024-03-19 09:11:04,buy,limit,100.000,75.000,0.12000000,0.75000000
MINAEUR,2024-03-19 09:13:08,buy,limit,1.000,65.000,0.10400000,65.000
TRXEUR,2024-03-19 09:32:23,buy,limit,0.11000000,65.010,0.10401600,591.000
SOLEUR,2024-03-19 22:20:09,buy,limit,154.800,66.564,0.10650000,0.43000000
XDGEUR,2024-03-20 00:07:38,buy,limit,0.11300000,79.100,0.12656000,700.000
XETHZEUR,2024-03-20 04:30:57,buy,limit,2880.000,66.989,0.10718000,0.02326000
LINKEUR,2024-03-20 05:26:14,buy,limit,15.000,79.500,0.12720000,5.300
XDGEUR,2024-03-20 19:35:04,sell,limit,0.13500000,94.500,0.18900000,700.000
APTEUR,2024-03-22 19:45:13,sell,limit,15.500,88.350,0.17670000,5.700
BCHEUR,2024-03-23 14:13:18,sell,limit,433.000,90.930,0.18186000,0.21000000
SNXEUR,2024-03-24 05:27:25,sell,limit,4.200,94.920,0.18984000,22.600
XDGEUR,2024-03-24 08:18:26,sell,limit,0.16200000,94.932,0.18986400,586.000
MINAEUR,2024-03-25 14:42:09,sell,limit,1.200,76.800,0.19200000,64.000
AAVEEUR,2024-03-25 17:28:53,sell,limit,120.000,67.978,0.16995000,0.56648667
AAVEEUR,2024-03-25 17:29:19,sell,limit,120.000,22.022,0.05505000,0.18351333
BATEUR,2024-03-25 19:53:37,sell,limit,0.31200000,94.848,0.23712000,304.000
LINKEUR,2024-03-26 00:20:43,sell,limit,18.000,95.400,0.19080000,5.300
SCEUR,2024-03-26 01:25:12,sell,limit,0.01000000,90.500,0.18100000,9050.000
XTZEUR,2024-03-27 00:02:43,sell,limit,1.310,64.885,0.12976900,49.530
XTZEUR,2024-03-27 00:02:46,sell,limit,1.310,30.090,0.06018100,22.970
BCHEUR,2024-03-28 07:55:08,sell,limit,519.600,93.528,0.18705600,0.18000000
XDGEUR,2024-03-28 10:42:24,sell,limit,0.19500000,94.965,0.18993000,487.000
EOSEUR,2024-03-29 05:12:33,sell,limit,1.050,94.500,0.23625000,90.000
XETCZEUR,2024-03-29 11:30:08,sell,limit,31.800,95.400,0.19080000,3.000
SOLEUR,2024-03-31 19:19:15,sell,limit,185.760,94.738,0.23684000,0.51000000
BCHEUR,2024-03-31 20:12:05,sell,limit,623.500,93.525,0.23381300,0.15000000
MINAEUR,2024-04-01 14:38:42,buy,limit,1.080,66.960,0.16740000,62.000
AVAXEUR,2024-04-02 02:39:17,buy,limit,44.160,79.488,0.19872000,1.800
XDGEUR,2024-04-02 03:16:24,buy,limit,0.17500000,67.025,0.16756250,383.000
BCHEUR,2024-04-02 05:16:05,buy,limit,560.000,67.200,0.16800000,0.12000000
MINAEUR,2024-04-02 10:48:57,buy,limit,0.97000000,66.930,0.16733000,69.000
SOLEUR,2024-04-02 11:18:56,buy,limit,167.200,66.880,0.16720000,0.40000000
MATICEUR,2024-04-03 00:36:30,buy,limit,0.82000000,80.360,0.20090000,98.000
XDGEUR,2024-04-03 21:09:02,buy,limit,0.15700000,66.882,0.16720500,426.000
APTEUR,2024-04-05 04:44:32,buy,limit,12.400,80.600,0.20150000,6.500
XDGEUR,2024-04-07 14:30:58,sell,limit,0.18800000,94.940,0.23735000,505.000
UNIEUR,2024-04-11 01:44:02,buy,limit,8.640,80.352,0.20088000,9.300
SNXEUR,2024-04-12 17:25:40,buy,limit,3.360,79.968,0.19992000,23.800
APTEUR,2024-04-12 17:28:33,buy,limit,9.920,79.360,0.19840000,8.000
AAVEEUR,2024-04-12 17:28:55,buy,limit,96.000,76.800,0.19200000,0.80000000
ALGOEUR,2024-04-12 17:29:08,buy,limit,0.19000000,79.990,0.19997500,421.000
SOLEUR,2024-04-12 18:28:01,buy,limit,150.000,66.000,0.16500000,0.44000000
ADAEUR,2024-04-12 18:32:17,buy,limit,0.48000000,80.160,0.20040000,167.000
LINKEUR,2024-04-12 18:32:36,buy,limit,14.400,80.640,0.20160000,5.600
BCHEUR,2024-04-12 18:32:38,buy,limit,504.000,65.520,0.16380000,0.13000000
XTZEUR,2024-04-12 18:32:50,buy,limit,1.050,80.850,0.20212500,77.000
MINAEUR,2024-04-12 18:33:09,buy,limit,0.77600000,80.704,0.20176000,104.000
SCEUR,2024-04-12 18:33:12,buy,limit,0.00800000,48.166,0.12041500,6020.760
SCEUR,2024-04-12 18:33:12,buy,limit,0.00800000,27.834,0.06958500,3479.240
AVAXEUR,2024-04-12 18:35:12,buy,limit,35.000,80.500,0.20125000,2.300
XXRPZEUR,2024-04-12 18:35:14,buy,limit,0.50000000,80.000,0.20000000,160.000
DOTEUR,2024-04-12 18:35:17,buy,limit,6.640,79.680,0.19920000,12.000
FLOWEUR,2024-04-12 18:35:21,buy,limit,0.93600000,80.496,0.20124000,86.000
EOSEUR,2024-04-12 18:35:31,buy,limit,0.84000000,75.600,0.18900000,90.000
UNIEUR,2024-04-12 18:35:46,buy,limit,6.900,79.350,0.19838000,11.500
BATEUR,2024-04-13 17:01:13,buy,limit,0.25000000,77.500,0.19375000,310.000
ATOMEUR,2024-04-13 17:14:43,buy,limit,8.080,79.992,0.19998000,9.900
XDGEUR,2024-04-13 17:38:42,buy,limit,0.15000000,80.250,0.20062500,535.000
XETCZEUR,2024-04-13 19:50:52,buy,limit,25.440,80.136,0.20034000,3.150
MATICEUR,2024-04-13 19:53:42,buy,limit,0.65000000,79.950,0.19987500,123.000
SNXEUR,2024-04-13 19:53:58,buy,limit,2.700,78.300,0.19575000,29.000
APTEUR,2024-04-13 19:56:30,buy,limit,7.930,79.300,0.19825000,10.000
SOLEUR,2024-04-13 20:06:51,buy,limit,120.000,78.000,0.19500000,0.65000000
AAVEEUR,2024-04-13 20:07:17,buy,limit,77.000,20.911,0.05228000,0.27156525
AAVEEUR,2024-04-13 20:07:20,buy,limit,77.000,0.01035000,0.00003000,0.00013444
AAVEEUR,2024-04-13 20:07:20,buy,limit,77.000,56.079,0.14020000,0.72830031
ALGOEUR,2024-04-13 20:07:36,buy,limit,0.15000000,79.950,0.19987500,533.000
EOSEUR,2024-04-13 20:07:54,buy,limit,0.67000000,77.050,0.19262500,115.000
FLOWEUR,2024-04-13 20:08:17,buy,limit,0.75000000,80.250,0.20063000,107.000
SCEUR,2024-04-13 20:09:13,buy,limit,0.00640000,76.998,0.19249600,12031.000
MINAEUR,2024-04-13 20:09:15,buy,limit,0.62000000,52.422,0.13106000,84.552
MINAEUR,2024-04-13 20:09:15,buy,limit,0.62000000,27.558,0.06890000,44.448
LINKEUR,2024-04-13 20:09:15,buy,limit,11.500,80.500,0.20125000,7.000
AVAXEUR,2024-04-13 20:09:22,buy,limit,28.000,78.400,0.19600000,2.800
XTZEUR,2024-04-13 20:09:23,buy,limit,0.84000000,11.760,0.02940000,14.000
XTZEUR,2024-04-13 20:09:23,buy,limit,0.84000000,67.200,0.16800000,80.000
